supplier_material_id,supplier_id,material_id,supplier_material_code,current_unit_price,currency,minimum_order_quantity,standard_order_quantity,lead_time_days,preferred_supplier,certificate_available,valid_from,valid_to
SM-0001,SUP-003,MAT-001,AL-2024-T3-SHEET-003,7.98,EUR,100,200,11,True,True,2026-01-01,
SM-0002,SUP-012,MAT-001,AL-2024-T3-SHEET-012,7.47,EUR,500,1000,20,False,True,2026-01-01,
SM-0003,SUP-005,MAT-001,AL-2024-T3-SHEET-005,8.76,EUR,100,200,16,False,True,2026-01-01,
SM-0004,SUP-001,MAT-002,AL-7075-T6-PLATE-001,2.17,EUR,100,500,5,True,True,2026-01-01,
SM-0005,SUP-005,MAT-002,AL-7075-T6-PLATE-005,2.37,EUR,100,200,16,False,True,2026-01-01,
SM-0006,SUP-003,MAT-003,AL-6082-T6-BAR-003,4.88,EUR,100,500,11,True,True,2026-01-01,
SM-0007,SUP-002,MAT-003,AL-6082-T6-BAR-002,5.08,EUR,100,500,7,False,True,2026-01-01,
SM-0008,SUP-012,MAT-004,AL-6061-T6-PLATE-012,4.08,EUR,500,1000,20,True,True,2026-01-01,
SM-0009,SUP-002,MAT-004,AL-6061-T6-PLATE-002,4.0,EUR,100,300,7,False,True,2026-01-01,
SM-0010,SUP-012,MAT-005,STEEL-S275JR-012,9.25,EUR,500,1000,20,True,True,2026-01-01,
SM-0011,SUP-002,MAT-005,STEEL-S275JR-002,8.95,EUR,100,200,7,False,True,2026-01-01,
SM-0012,SUP-005,MAT-006,STEEL-42CRMO4-005,8.16,EUR,100,500,16,True,True,2026-01-01,
SM-0013,SUP-003,MAT-006,STEEL-42CRMO4-003,9.3,EUR,100,300,11,False,True,2026-01-01,
SM-0014,SUP-005,MAT-007,STEEL-C45-005,11.59,EUR,100,500,16,True,True,2026-01-01,
SM-0015,SUP-012,MAT-007,STEEL-C45-012,10.41,EUR,500,1500,20,False,True,2026-01-01,
SM-0016,SUP-002,MAT-008,INOX-AISI304-002,2.98,EUR,100,300,7,True,True,2026-01-01,
SM-0017,SUP-003,MAT-008,INOX-AISI304-003,3.05,EUR,100,300,11,False,True,2026-01-01,
SM-0018,SUP-002,MAT-009,INOX-AISI316L-002,6.23,EUR,100,200,7,True,True,2026-01-01,
SM-0019,SUP-012,MAT-009,INOX-AISI316L-012,6.22,EUR,500,1000,20,False,True,2026-01-01,
SM-0020,SUP-002,MAT-010,CU-ETP-002,2.34,EUR,100,300,7,True,True,2026-01-01,
SM-0021,SUP-005,MAT-010,CU-ETP-005,2.26,EUR,100,300,16,False,True,2026-01-01,
SM-0022,SUP-003,MAT-011,BRASS-CW614N-003,4.34,EUR,100,500,11,True,True,2026-01-01,
SM-0023,SUP-001,MAT-011,BRASS-CW614N-001,4.45,EUR,100,300,5,False,True,2026-01-01,
SM-0024,SUP-012,MAT-011,BRASS-CW614N-012,4.2,EUR,500,1500,20,False,True,2026-01-01,
SM-0025,SUP-010,MAT-012,POM-C-NAT-010,6.66,EUR,100,200,9,True,False,2026-01-01,
SM-0026,SUP-003,MAT-012,POM-C-NAT-003,7.56,EUR,100,500,11,False,False,2026-01-01,
SM-0027,SUP-003,MAT-013,PA6-GF30-003,2.4,EUR,100,300,11,True,False,2026-01-01,
SM-0028,SUP-010,MAT-013,PA6-GF30-010,2.39,EUR,100,500,9,False,False,2026-01-01,
SM-0029,SUP-004,MAT-014,FAST-M6-AERO-004,7.05,EUR,50,100,6,True,True,2026-01-01,
SM-0030,SUP-006,MAT-014,FAST-M6-AERO-006,7.25,EUR,50,250,8,False,True,2026-01-01,
SM-0031,SUP-004,MAT-015,FAST-M8-AERO-004,23.21,EUR,50,150,6,True,True,2026-01-01,
SM-0032,SUP-004,MAT-016,RIVET-4MM-AERO-004,20.37,EUR,50,150,6,True,True,2026-01-01,
SM-0033,SUP-006,MAT-016,RIVET-4MM-AERO-006,18.41,EUR,50,100,8,False,True,2026-01-01,
SM-0034,SUP-006,MAT-017,BEARING-6205-006,8.24,EUR,50,100,8,True,True,2026-01-01,
SM-0035,SUP-009,MAT-017,BEARING-6205-009,8.56,EUR,50,250,3,False,True,2026-01-01,
SM-0036,SUP-006,MAT-018,BEARING-6004-006,22.23,EUR,50,100,8,True,True,2026-01-01,
SM-0037,SUP-009,MAT-018,BEARING-6004-009,19.97,EUR,50,250,3,False,True,2026-01-01,
SM-0038,SUP-006,MAT-019,SEAL-25MM-006,29.36,EUR,50,150,8,True,False,2026-01-01,
SM-0039,SUP-009,MAT-019,SEAL-25MM-009,30.64,EUR,50,250,3,False,False,2026-01-01,
SM-0040,SUP-009,MAT-020,O-RING-VITON-32-009,0.5,EUR,50,100,3,True,False,2026-01-01,
SM-0041,SUP-006,MAT-020,O-RING-VITON-32-006,0.49,EUR,50,100,8,False,False,2026-01-01,
SM-0042,SUP-006,MAT-021,CUT-FLUID-01-006,10.92,EUR,100,500,8,True,True,2026-01-01,
SM-0043,SUP-008,MAT-021,CUT-FLUID-01-008,12.11,EUR,100,200,5,False,True,2026-01-01,
SM-0044,SUP-006,MAT-022,CUT-FLUID-02-006,9.95,EUR,100,200,8,True,True,2026-01-01,
SM-0045,SUP-008,MAT-022,CUT-FLUID-02-008,10.3,EUR,100,300,5,False,True,2026-01-01,
SM-0046,SUP-006,MAT-023,ADHESIVE-STRUCT-01-006,11.61,EUR,50,150,8,True,True,2026-01-01,
SM-0047,SUP-008,MAT-023,ADHESIVE-STRUCT-01-008,12.71,EUR,50,100,5,False,True,2026-01-01,
SM-0048,SUP-006,MAT-024,CLEANER-IND-01-006,4.6,EUR,100,300,8,True,True,2026-01-01,
SM-0049,SUP-008,MAT-024,CLEANER-IND-01-008,4.69,EUR,100,500,5,False,True,2026-01-01,
SM-0050,SUP-006,MAT-025,COOLANT-CNC-01-006,13.32,EUR,100,300,8,True,True,2026-01-01,
SM-0051,SUP-008,MAT-025,COOLANT-CNC-01-008,14.18,EUR,100,200,5,False,True,2026-01-01,
SM-0052,SUP-006,MAT-026,TOOL-ENDMILL-10-006,12.05,EUR,50,100,8,True,False,2026-01-01,
SM-0053,SUP-007,MAT-026,TOOL-ENDMILL-10-007,11.83,EUR,50,150,4,False,False,2026-01-01,
SM-0054,SUP-006,MAT-027,TOOL-ENDMILL-16-006,3.49,EUR,50,250,8,True,False,2026-01-01,
SM-0055,SUP-007,MAT-027,TOOL-ENDMILL-16-007,3.29,EUR,50,250,4,False,False,2026-01-01,
SM-0056,SUP-006,MAT-028,TOOL-DRILL-8-006,3.91,EUR,50,100,8,True,False,2026-01-01,
SM-0057,SUP-007,MAT-028,TOOL-DRILL-8-007,3.46,EUR,50,150,4,False,False,2026-01-01,
SM-0058,SUP-006,MAT-029,INSERT-CNMG-006,31.62,EUR,50,100,8,True,False,2026-01-01,
SM-0059,SUP-007,MAT-029,INSERT-CNMG-007,29.13,EUR,50,150,4,False,False,2026-01-01,
SM-0060,SUP-007,MAT-030,INSERT-APKT-007,20.99,EUR,50,250,4,True,False,2026-01-01,
SM-0061,SUP-006,MAT-030,INSERT-APKT-006,22.93,EUR,50,250,8,False,False,2026-01-01,
SM-0062,SUP-011,MAT-031,PACK-FOAM-01-011,26.91,EUR,50,100,3,True,False,2026-01-01,
SM-0063,SUP-006,MAT-031,PACK-FOAM-01-006,30.43,EUR,50,250,8,False,False,2026-01-01,
SM-0064,SUP-006,MAT-032,PACK-BOX-L-006,23.8,EUR,50,250,8,True,False,2026-01-01,
SM-0065,SUP-011,MAT-032,PACK-BOX-L-011,25.52,EUR,50,250,3,False,False,2026-01-01,
SM-0066,SUP-006,MAT-033,PALLET-EUR-006,19.97,EUR,50,100,8,True,False,2026-01-01,
SM-0067,SUP-011,MAT-033,PALLET-EUR-011,19.2,EUR,50,250,3,False,False,2026-01-01,
SM-0068,SUP-011,MAT-034,LABEL-TRACE-011,36.48,EUR,50,250,3,True,False,2026-01-01,
SM-0069,SUP-006,MAT-034,LABEL-TRACE-006,32.69,EUR,50,250,8,False,False,2026-01-01,
SM-0070,SUP-006,MAT-035,PPE-GLOVE-CUT-006,6.04,EUR,50,250,8,True,False,2026-01-01,
SM-0071,SUP-011,MAT-035,PPE-GLOVE-CUT-011,5.91,EUR,50,150,3,False,False,2026-01-01,
