receipt_id,purchase_order_id,purchase_order_line,receipt_date,quantity_received,accepted_quantity,rejected_quantity
GR-00001,PO-01000,2,2025-10-11,209.4,208.76,0.64
GR-00002,PO-01000,3,2026-02-17,330.43,329.1,1.34
GR-00003,PO-01001,1,2025-11-17,212.34,208.95,3.39
GR-00004,PO-01001,2,2025-11-14,543.66,536.12,7.54
GR-00005,PO-01002,1,2026-07-02,237.04,233.82,3.22
GR-00006,PO-01002,2,2026-06-04,200.12,199.23,0.89
GR-00007,PO-01002,3,2025-12-10,293.79,292.1,1.69
GR-00008,PO-01003,1,2025-10-31,196.99,190.56,6.42
GR-00009,PO-01003,2,2025-10-01,154.64,154.59,0.05
GR-00010,PO-01003,3,2026-03-01,140.75,139.68,1.06
GR-00011,PO-01004,1,2025-12-13,269.94,252.7,17.24
GR-00012,PO-01004,2,2025-04-02,418.85,415.62,3.23
GR-00013,PO-01004,3,2026-03-28,183.73,182.48,1.25
GR-00014,PO-01005,1,2026-06-28,341.49,340.11,1.38
GR-00015,PO-01005,2,2025-11-29,1273.61,1262.76,10.86
GR-00016,PO-01005,3,2025-11-25,319.18,318.52,0.66
GR-00017,PO-01006,1,2025-04-01,231.52,227.6,3.92
GR-00018,PO-01006,2,2025-11-14,348.77,343.71,5.06
GR-00019,PO-01006,3,2026-03-21,560.56,552.26,8.3
GR-00020,PO-01007,1,2026-07-06,2171.34,2145.92,25.42
GR-00021,PO-01007,2,2025-12-03,156.38,153.9,2.48
GR-00022,PO-01007,3,2026-04-01,112.75,110.84,1.91
GR-00023,PO-01008,1,2025-12-12,224.6,221.69,2.91
GR-00024,PO-01008,2,2026-08-02,305.81,288.89,16.92
GR-00025,PO-01008,3,2026-02-24,105.76,101.92,3.84
GR-00026,PO-01009,1,2025-09-22,87.81,86.51,1.3
GR-00027,PO-01009,2,2025-12-22,225.88,220.42,5.46
GR-00028,PO-01009,3,2025-05-04,227.37,213.67,13.69
GR-00029,PO-01010,1,2026-07-10,563.13,553.59,9.54
GR-00030,PO-01010,2,2026-04-18,131.91,131.56,0.35
GR-00031,PO-01010,3,2025-07-04,148.57,147.97,0.6
GR-00032,PO-01011,1,2026-06-10,259.58,246.68,12.9
GR-00033,PO-01011,2,2025-12-14,592.14,590.47,1.67
GR-00034,PO-01011,3,2026-06-29,306.14,301.4,4.74
GR-00035,PO-01012,1,2025-10-09,1402.39,1395.68,6.71
GR-00036,PO-01012,2,2026-01-17,219.53,219.03,0.49
GR-00037,PO-01012,3,2026-08-15,141.23,136.34,4.88
GR-00038,PO-01013,1,2025-10-28,143.93,141.34,2.59
GR-00039,PO-01013,2,2025-09-04,128.21,117.99,10.23
GR-00040,PO-01013,3,2026-06-29,215.34,214.72,0.62
GR-00041,PO-01014,1,2026-04-20,227.43,226.95,0.47
GR-00042,PO-01014,2,2026-07-04,121.22,116.39,4.83
GR-00043,PO-01014,3,2025-07-21,84.01,77.47,6.54
GR-00044,PO-01015,1,2025-03-22,141.61,141.32,0.29
