plant_id,warehouse_id,material_id,on_hand_quantity,reserved_quantity,available_quantity,safety_stock,average_daily_consumption,average_unit_cost,last_movement_date
PLT-SEV-01,WH-RAW,MAT-001,316.69,28.68,288.0,31.31,4.47,8.39,2026-07-23
PLT-SEV-01,WH-RAW,MAT-002,111.77,64.42,47.35,86.93,12.42,2.25,2026-06-30
PLT-SEV-01,WH-RAW,MAT-003,200.4,11.15,189.25,8.11,1.16,4.75,2026-08-11
PLT-SEV-01,WH-RAW,MAT-004,611.37,44.34,567.04,70.98,10.14,4.23,2026-07-26
PLT-SEV-01,WH-RAW,MAT-005,852.82,65.51,787.31,223.27,15.95,9.36,2026-07-14
PLT-SEV-01,WH-RAW,MAT-006,517.18,96.82,420.36,43.0,6.14,8.77,2026-07-15
PLT-SEV-01,WH-RAW,MAT-007,774.95,161.5,613.45,86.48,12.35,10.92,2026-08-11
PLT-SEV-01,WH-RAW,MAT-008,436.85,76.98,359.87,54.96,5.5,2.87,2026-08-08
PLT-SEV-01,WH-RAW,MAT-009,179.49,28.55,150.94,81.06,5.79,6.22,2026-07-05
PLT-SEV-01,WH-RAW,MAT-010,934.16,86.59,847.57,108.5,15.5,2.3,2026-08-14
PLT-SEV-01,WH-RAW,MAT-011,901.0,51.8,849.2,82.48,11.78,4.19,2026-07-27
PLT-SEV-01,WH-RAW,MAT-012,569.04,100.16,468.88,165.63,11.83,7.05,2026-07-13
PLT-SEV-01,WH-RAW,MAT-013,293.47,18.43,275.04,57.89,8.27,2.27,2026-07-04
PLT-SEV-01,WH-COMP,MAT-014,500,430,70,80,8,7.2,2026-08-08
PLT-SEV-01,WH-COMP,MAT-015,64.6,13.1,51.49,12.81,1.28,22.85,2026-08-15
PLT-SEV-01,WH-COMP,MAT-016,91.04,6.14,84.9,26.85,1.92,19.21,2026-06-29
PLT-SEV-01,WH-COMP,MAT-017,393.2,61.15,332.05,49.75,7.11,7.95,2026-08-08
PLT-SEV-01,WH-COMP,MAT-018,140,0,140,0,0,20.75,2026-01-19
PLT-SEV-01,WH-COMP,MAT-019,35.26,3.75,31.5,6.87,0.49,28.39,2026-07-22
PLT-SEV-01,WH-COMP,MAT-020,525.23,50.08,475.15,48.67,6.95,0.53,2026-07-04
PLT-SEV-01,WH-CONS,MAT-021,277.14,36.03,241.11,75.03,7.5,11.86,2026-08-05
PLT-SEV-01,WH-CONS,MAT-022,527.94,104.6,423.35,48.61,6.94,10.68,2026-08-03
PLT-SEV-01,WH-CONS,MAT-023,295.61,28.78,266.83,53.82,5.38,12.11,2026-08-13
PLT-SEV-01,WH-CONS,MAT-024,421.45,69.76,351.69,69.69,6.97,4.71,2026-07-14
PLT-SEV-01,WH-CONS,MAT-025,691.7,148.69,543.0,237.54,16.97,13.53,2026-08-06
PLT-SEV-01,WH-CONS,MAT-026,372.26,25.47,346.79,77.12,7.71,11.98,2026-07-21
PLT-SEV-01,WH-CONS,MAT-027,299.53,45.84,253.69,41.37,5.91,3.52,2026-07-16
PLT-SEV-01,WH-CONS,MAT-028,208.47,19.45,189.02,32.66,3.27,3.66,2026-07-03
PLT-SEV-01,WH-CONS,MAT-029,25.44,3.6,21.84,4.38,0.31,29.71,2026-07-02
PLT-SEV-01,WH-CONS,MAT-030,268.0,33.05,234.95,59.75,5.98,21.25,2026-07-06
PLT-SEV-01,WH-CONS,MAT-031,347.55,24.74,322.81,71.38,5.1,28.31,2026-07-29
PLT-SEV-01,WH-CONS,MAT-032,148.61,17.6,131.01,37.54,2.68,25.62,2026-07-30
PLT-SEV-01,WH-CONS,MAT-033,71.72,15.05,56.66,17.92,1.28,18.91,2026-07-05
PLT-SEV-01,WH-CONS,MAT-034,476.98,48.25,428.73,50.76,7.25,34.07,2026-07-13
PLT-SEV-01,WH-CONS,MAT-035,120.14,22.05,98.08,36.96,2.64,5.89,2026-07-10
