purchase_order_id,purchase_order_line,company_id,plant_id,supplier_id,material_id,order_date,expected_delivery_date,actual_delivery_date,quantity,unit_price,currency,transport_cost,status
PO-01000,2,COMP-001,PLT-SEV-01,SUP-008,MAT-021,2025-10-05,2025-10-10,2025-10-11,210.69,12.14,EUR,229.25,RECEIVED
PO-01000,3,COMP-001,PLT-SEV-01,SUP-003,MAT-006,2026-02-07,2026-02-18,2026-02-17,333.71,9.61,EUR,197.74,RECEIVED
PO-01001,1,COMP-001,PLT-SEV-01,SUP-003,MAT-013,2025-11-06,2025-11-17,2025-11-17,215.86,2.44,EUR,201.38,RECEIVED
PO-01001,2,COMP-001,PLT-SEV-01,SUP-010,MAT-013,2025-11-05,2025-11-14,2025-11-14,547.75,2.44,EUR,41.16,RECEIVED
PO-01001,3,COMP-001,PLT-SEV-01,SUP-012,MAT-007,2026-08-13,2026-09-02,,1312.61,10.04,EUR,92.33,OPEN
PO-01002,1,COMP-001,PLT-SEV-01,SUP-003,MAT-008,2026-06-19,2026-06-30,2026-07-02,242.0,3.07,EUR,157.37,RECEIVED
PO-01002,2,COMP-001,PLT-SEV-01,SUP-007,MAT-029,2026-05-31,2026-06-04,2026-06-04,204.67,29.91,EUR,139.68,RECEIVED
PO-01002,3,COMP-001,PLT-SEV-01,SUP-009,MAT-018,2025-12-07,2025-12-10,2025-12-10,300.35,19.31,EUR,100.0,RECEIVED
PO-01003,1,COMP-001,PLT-SEV-01,SUP-006,MAT-035,2025-10-23,2025-10-31,2025-10-31,202.67,6.18,EUR,188.35,RECEIVED
PO-01003,2,COMP-001,PLT-SEV-01,SUP-011,MAT-035,2025-09-28,2025-10-01,2025-10-01,154.89,5.88,EUR,201.66,RECEIVED
PO-01003,3,COMP-001,PLT-SEV-01,SUP-008,MAT-025,2026-02-24,2026-03-01,2026-03-01,140.94,14.57,EUR,219.22,RECEIVED
PO-01004,1,COMP-001,PLT-SEV-01,SUP-006,MAT-035,2025-12-05,2025-12-13,2025-12-13,272.65,6.06,EUR,121.66,RECEIVED
PO-01004,2,COMP-001,PLT-SEV-01,SUP-001,MAT-011,2025-03-28,2025-04-02,2025-04-02,430.69,4.51,EUR,179.23,RECEIVED
PO-01004,3,COMP-001,PLT-SEV-01,SUP-007,MAT-030,2026-03-24,2026-03-28,2026-03-28,185.06,20.55,EUR,108.64,RECEIVED
PO-01005,1,COMP-001,PLT-SEV-01,SUP-007,MAT-027,2026-06-25,2026-06-29,2026-06-28,341.98,3.38,EUR,50.94,RECEIVED
PO-01005,2,COMP-001,PLT-SEV-01,SUP-012,MAT-005,2025-11-09,2025-11-29,2025-11-29,1303.39,9.58,EUR,170.48,RECEIVED
PO-01005,3,COMP-001,PLT-SEV-01,SUP-002,MAT-008,2025-11-18,2025-11-25,2025-11-25,321.61,2.91,EUR,167.52,RECEIVED
PO-01006,1,COMP-001,PLT-SEV-01,SUP-001,MAT-011,2025-03-27,2025-04-01,2025-04-01,235.94,4.5,EUR,230.69,RECEIVED
PO-01006,2,COMP-001,PLT-SEV-01,SUP-003,MAT-013,2025-11-04,2025-11-15,2025-11-14,352.1,2.45,EUR,103.33,RECEIVED
PO-01006,3,COMP-001,PLT-SEV-01,SUP-002,MAT-003,2026-03-15,2026-03-22,2026-03-21,563.1,5.11,EUR,111.66,RECEIVED
PO-01007,1,COMP-001,PLT-SEV-01,SUP-012,MAT-007,2026-06-14,2026-07-04,2026-07-06,2202.95,10.14,EUR,76.99,RECEIVED
PO-01007,2,COMP-001,PLT-SEV-01,SUP-011,MAT-035,2025-11-30,2025-12-03,2025-12-03,160.78,6.13,EUR,214.45,RECEIVED
PO-01007,3,COMP-001,PLT-SEV-01,SUP-006,MAT-016,2026-03-24,2026-04-01,2026-04-01,115.59,17.72,EUR,218.7,RECEIVED
PO-01008,1,COMP-001,PLT-SEV-01,SUP-009,MAT-017,2025-12-08,2025-12-11,2025-12-12,230.93,8.23,EUR,239.09,RECEIVED
PO-01008,2,COMP-001,PLT-SEV-01,SUP-006,MAT-032,2026-07-16,2026-07-24,2026-08-02,313.12,24.55,EUR,59.54,RECEIVED
PO-01008,3,COMP-001,PLT-SEV-01,SUP-006,MAT-020,2026-02-16,2026-02-24,2026-02-24,107.86,0.51,EUR,155.58,RECEIVED
PO-01009,1,COMP-001,PLT-SEV-01,SUP-006,MAT-020,2025-09-14,2025-09-22,2025-09-22,88.44,0.48,EUR,152.53,RECEIVED
PO-01009,2,COMP-001,PLT-SEV-01,SUP-006,MAT-014,2025-12-15,2025-12-23,2025-12-22,230.3,7.5,EUR,102.21,RECEIVED
PO-01009,3,COMP-001,PLT-SEV-01,SUP-006,MAT-035,2025-04-25,2025-05-03,2025-05-04,229.86,5.96,EUR,238.26,RECEIVED
PO-01010,1,COMP-001,PLT-SEV-01,SUP-005,MAT-007,2026-06-24,2026-07-10,2026-07-10,579.63,11.59,EUR,78.72,RECEIVED
PO-01010,2,COMP-001,PLT-SEV-01,SUP-011,MAT-031,2026-04-15,2026-04-18,2026-04-18,135.77,26.01,EUR,172.18,RECEIVED
PO-01010,3,COMP-001,PLT-SEV-01,SUP-009,MAT-020,2025-06-30,2025-07-03,2025-07-04,149.51,0.51,EUR,167.33,RECEIVED
PO-01011,1,COMP-001,PLT-SEV-01,SUP-006,MAT-034,2026-05-28,2026-06-05,2026-06-10,265.1,33.91,EUR,247.91,RECEIVED
PO-01011,2,COMP-001,PLT-SEV-01,SUP-005,MAT-007,2025-11-26,2025-12-12,2025-12-14,600.21,11.21,EUR,90.37,RECEIVED
PO-01011,3,COMP-001,PLT-SEV-01,SUP-007,MAT-027,2026-06-25,2026-06-29,2026-06-29,312.87,3.17,EUR,100.5,RECEIVED
PO-01012,1,COMP-001,PLT-SEV-01,SUP-012,MAT-005,2025-09-19,2025-10-09,2025-10-09,1439.13,8.98,EUR,87.21,RECEIVED
PO-01012,2,COMP-001,PLT-SEV-01,SUP-002,MAT-010,2026-01-09,2026-01-16,2026-01-17,224.31,2.4,EUR,159.53,RECEIVED
PO-01012,3,COMP-001,PLT-SEV-01,SUP-006,MAT-020,2026-07-26,2026-08-03,2026-08-15,145.41,0.49,EUR,56.89,RECEIVED
PO-01013,1,COMP-001,PLT-SEV-01,SUP-008,MAT-021,2025-10-21,2025-10-26,2025-10-28,144.14,12.54,EUR,160.79,RECEIVED
PO-01013,2,COMP-001,PLT-SEV-01,SUP-006,MAT-018,2025-08-27,2025-09-04,2025-09-04,131.05,22.38,EUR,132.87,RECEIVED
PO-01013,3,COMP-001,PLT-SEV-01,SUP-007,MAT-028,2026-06-25,2026-06-29,2026-06-29,221.29,3.45,EUR,107.42,RECEIVED
PO-01014,1,COMP-001,PLT-SEV-01,SUP-007,MAT-027,2026-04-15,2026-04-19,2026-04-20,232.64,3.17,EUR,58.49,RECEIVED
PO-01014,2,COMP-001,PLT-SEV-01,SUP-006,MAT-026,2026-06-17,2026-06-25,2026-07-04,122.61,11.63,EUR,148.87,RECEIVED
PO-01014,3,COMP-001,PLT-SEV-01,SUP-006,MAT-029,2025-07-13,2025-07-21,2025-07-21,86.28,31.6,EUR,186.63,RECEIVED
PO-01015,1,COMP-001,PLT-SEV-01,SUP-004,MAT-016,2025-03-15,2025-03-21,2025-03-22,142.29,20.3,EUR,87.19,RECEIVED
PO-01015,2,COMP-001,PLT-SEV-01,SUP-002,MAT-008,2025-12-24,2025-12-31,2026-01-01,329.61,3.05,EUR,127.25,RECEIVED
PO-01015,3,COMP-001,PLT-SEV-01,SUP-007,MAT-030,2026-08-03,2026-08-07,2026-08-09,251.72,21.81,EUR,221.45,RECEIVED
PO-01016,1,COMP-001,PLT-SEV-01,SUP-007,MAT-027,2026-08-02,2026-08-06,2026-08-06,361.85,3.4,EUR,99.4,RECEIVED
PO-01016,2,COMP-001,PLT-SEV-01,SUP-006,MAT-032,2026-07-09,2026-07-17,2026-07-22,264.31,23.56,EUR,200.2,RECEIVED
PO-01016,3,COMP-001,PLT-SEV-01,SUP-003,MAT-013,2025-10-26,2025-11-06,2025-11-06,347.23,2.31,EUR,196.39,RECEIVED
PO-01017,1,COMP-001,PLT-SEV-01,SUP-006,MAT-025,2025-04-07,2025-04-15,2025-04-15,328.88,13.39,EUR,163.94,RECEIVED
PO-01017,2,COMP-001,PLT-SEV-01,SUP-006,MAT-029,2026-06-11,2026-06-19,2026-06-19,112.08,32.41,EUR,126.1,RECEIVED
PO-01017,3,COMP-001,PLT-SEV-01,SUP-006,MAT-031,2026-04-12,2026-04-20,2026-04-22,242.71,29.43,EUR,109.0,RECEIVED
PO-01018,1,COMP-001,PLT-SEV-01,SUP-008,MAT-021,2025-04-06,2025-04-11,2025-04-12,279.58,11.7,EUR,172.54,RECEIVED
PO-01018,2,COMP-001,PLT-SEV-01,SUP-003,MAT-006,2025-06-11,2025-06-22,2025-06-22,444.8,9.07,EUR,102.89,RECEIVED
PO-01018,3,COMP-001,PLT-SEV-01,SUP-002,MAT-004,2026-05-16,2026-05-23,2026-05-23,296.03,3.93,EUR,126.53,RECEIVED
PO-01019,1,COMP-001,PLT-SEV-01,SUP-010,MAT-012,2026-03-27,2026-04-05,2026-04-06,237.52,6.8,EUR,144.51,RECEIVED
PO-01019,2,COMP-001,PLT-SEV-01,SUP-009,MAT-017,2025-03-10,2025-03-13,2025-03-13,226.07,8.91,EUR,182.3,RECEIVED
