requisition_id,company_id,plant_id,material_id,requested_quantity,requested_date,required_date,status,priority
PR-0001,COMP-001,PLT-SEV-01,MAT-004,295,2026-08-03,2026-09-15,OPEN,HIGH
PR-0002,COMP-001,PLT-SEV-01,MAT-016,561,2026-07-29,2026-09-29,OPEN,HIGH
PR-0003,COMP-001,PLT-SEV-01,MAT-034,62,2026-08-07,2026-09-11,OPEN,HIGH
PR-0004,COMP-001,PLT-SEV-01,MAT-025,480,2026-08-07,2026-09-25,CLOSED,LOW
PR-0005,COMP-001,PLT-SEV-01,MAT-005,67,2026-07-31,2026-08-26,APPROVED,LOW
PR-0006,COMP-001,PLT-SEV-01,MAT-014,90,2026-08-17,2026-09-16,APPROVED,HIGH
PR-0007,COMP-001,PLT-SEV-01,MAT-033,475,2026-08-05,2026-09-16,OPEN,LOW
PR-0008,COMP-001,PLT-SEV-01,MAT-018,135,2026-08-09,2026-08-27,OPEN,LOW
PR-0009,COMP-001,PLT-SEV-01,MAT-035,384,2026-08-06,2026-09-28,APPROVED,LOW
PR-0010,COMP-001,PLT-SEV-01,MAT-028,294,2026-08-17,2026-09-06,CLOSED,LOW
PR-0011,COMP-001,PLT-SEV-01,MAT-008,514,2026-07-30,2026-09-29,APPROVED,LOW
PR-0012,COMP-001,PLT-SEV-01,MAT-012,172,2026-08-18,2026-08-30,OPEN,LOW
PR-0013,COMP-001,PLT-SEV-01,MAT-032,405,2026-08-02,2026-09-24,OPEN,MEDIUM
PR-0014,COMP-001,PLT-SEV-01,MAT-024,179,2026-08-10,2026-08-29,APPROVED,LOW
PR-0015,COMP-001,PLT-SEV-01,MAT-028,328,2026-08-02,2026-08-26,OPEN,MEDIUM
PR-0016,COMP-001,PLT-SEV-01,MAT-032,516,2026-08-02,2026-09-14,CLOSED,LOW
PR-0017,COMP-001,PLT-SEV-01,MAT-011,426,2026-08-13,2026-09-07,OPEN,LOW
PR-0018,COMP-001,PLT-SEV-01,MAT-015,571,2026-08-18,2026-08-24,OPEN,HIGH
PR-0019,COMP-001,PLT-SEV-01,MAT-016,97,2026-08-03,2026-09-14,CLOSED,HIGH
PR-0020,COMP-001,PLT-SEV-01,MAT-010,233,2026-08-17,2026-09-26,OPEN,MEDIUM
PR-0021,COMP-001,PLT-SEV-01,MAT-021,304,2026-08-05,2026-09-11,OPEN,MEDIUM
PR-0022,COMP-001,PLT-SEV-01,MAT-024,172,2026-08-02,2026-08-25,OPEN,LOW
PR-0023,COMP-001,PLT-SEV-01,MAT-034,97,2026-08-06,2026-08-26,CLOSED,HIGH
PR-0024,COMP-001,PLT-SEV-01,MAT-019,368,2026-08-08,2026-08-27,OPEN,MEDIUM
PR-0025,COMP-001,PLT-SEV-01,MAT-024,255,2026-08-09,2026-09-27,OPEN,MEDIUM
PR-0026,COMP-001,PLT-SEV-01,MAT-030,427,2026-07-31,2026-09-22,OPEN,LOW
PR-0027,COMP-001,PLT-SEV-01,MAT-010,56,2026-08-05,2026-08-23,APPROVED,LOW
PR-0028,COMP-001,PLT-SEV-01,MAT-001,393,2026-08-18,2026-09-15,APPROVED,HIGH
PR-0029,COMP-001,PLT-SEV-01,MAT-007,260,2026-08-02,2026-09-06,CLOSED,MEDIUM
PR-0030,COMP-001,PLT-SEV-01,MAT-004,195,2026-08-10,2026-08-27,OPEN,HIGH
PR-0099,COMP-001,PLT-SEV-01,MAT-002,500,2026-08-18,2026-08-31,OPEN,HIGH
